"date"	"comment"	"P"	"T"	"RH"	"ET"	"QobsS"
"19900901"	1	"0"	"13.8"	"97"	"1.4"	"4.09"
"19900902"	2	"11.9168"	"13.7"	"87"	"2.1"	"4.09"
"19900903"	3	"1.266"	"13"	"85"	"2.2"	"4.31"
"19900904"	4	"0"	"15.8"	"83"	"2.6"	"4.09"
"19900905"	5	"44.0708"	"14.9"	"91"	"1.8"	"5.93"
"19900906"	6	"3.4012"	"11.6"	"79"	"2.8"	"6.94"
"19900907"	7	"0"	"11.3"	"86"	"1.9"	"6.18"
"19900908"	8	"43.1444"	"11.4"	"78"	"2.7"	"14.2"
"19900909"	9	"0"	"10.9"	"79"	"2.6"	"12.6"
"19900910"	10	"0"	"12.3"	"77"	"2"	"8.56"
"19900911"	11	"1.0688"	"11.2"	"79"	"2.8"	"6.43"
"19900912"	12	"0"	"10.1"	"68"	"2.6"	"5.44"
"19900913"	13	"0"	"10.2"	"76"	"2.3"	"4.98"
"19900914"	14	"0"	"9.7"	"84"	"2.1"	"4.98"
"19900915"	15	"0"	"12.1"	"89"	"1.4"	"4.75"
"19900916"	16	"0"	"11.3"	"86"	"1.5"	"4.75"
"19900917"	17	"1.1352"	"13.5"	"82"	"1.8"	"4.53"
"19900918"	18	"0"	"12.9"	"89"	"1.4"	"4.75"
"19900919"	19	"11.4068"	"12.9"	"87"	"1.5"	"4.31"
"19900920"	20	"0"	"13.5"	"89"	"1.2"	"4.53"
"19900921"	21	"10.1132"	"15"	"97"	"1.2"	"4.53"
"19900922"	22	"16.5096"	"15.3"	"93"	"1.4"	"8.01"
"19900923"	23	"0"	"17.7"	"92"	"1.8"	"5.93"
"19900924"	24	"19.864"	"13.5"	"94"	"1.3"	"6.43"
"19900925"	25	"40.308"	"11.3"	"90"	"1.3"	"25.6"
"19900926"	26	"0.9296"	"11.4"	"100"	"1"	"17"
"19900927"	27	"14.8056"	"9.6"	"87"	"1.4"	"17.6"
"19900928"	28	"1.3344"	"8.3"	"83"	"1.9"	"15.8"
"19900929"	29	"0"	"9.1"	"82"	"1.7"	"13.3"
"19900930"	30	"0"	"13.2"	"89"	"1.4"	"12"
"19901001"	31	"0.0996"	"15.1"	"94"	"1.1"	"10.9"
"19901002"	32	"0.3988"	"14.4"	"93"	"1.2"	"10.3"
"19901003"	33	"0.166"	"13.9"	"78"	"2.2"	"9.69"
"19901004"	34	"0"	"13.2"	"86"	"1.4"	"9.4"
